event,probability_threshold,consensus_votes,stable_frames,release_frames,c07_precision,c07_recall,c07_f1,c07_predicted_commits
1,0.6,2,1,3,0.7995735607675906,0.9014423076923077,0.8474576271186441,469
1,0.6,2,1,5,0.8269662921348314,0.8846153846153846,0.8548199767711963,445
1,0.6,2,1,8,0.8333333333333334,0.8774038461538461,0.8548009367681498,438
1,0.6,2,2,2,0.9069148936170213,0.8197115384615384,0.861111111111111,376
1,0.6,2,2,3,0.9117647058823529,0.8197115384615384,0.8632911392405063,374
1,0.6,2,2,5,0.918918918918919,0.8173076923076923,0.8651399491094146,370
1,0.6,2,2,8,0.9186991869918699,0.8149038461538461,0.8636942675159236,369
1,0.6,2,3,2,0.9783393501805054,0.6514423076923077,0.7821067821067822,277
1,0.6,2,3,3,0.9783393501805054,0.6514423076923077,0.7821067821067822,277
1,0.6,2,3,5,0.9818840579710145,0.6514423076923077,0.7832369942196532,276
1,0.6,2,3,8,0.9818840579710145,0.6514423076923077,0.7832369942196532,276
1,0.6,3,1,2,0.9303135888501742,0.6418269230769231,0.7596017069701281,287
1,0.6,3,1,3,0.9303135888501742,0.6418269230769231,0.7596017069701281,287
1,0.6,3,1,5,0.9303135888501742,0.6418269230769231,0.7596017069701281,287
1,0.6,3,1,8,0.9335664335664335,0.6418269230769231,0.7606837606837606,286
1,0.6,3,2,2,0.9748427672955975,0.37259615384615385,0.5391304347826087,159
1,0.6,3,2,3,0.9748427672955975,0.37259615384615385,0.5391304347826087,159
1,0.6,3,2,5,0.9748427672955975,0.37259615384615385,0.5391304347826087,159
1,0.6,3,2,8,0.9748427672955975,0.37259615384615385,0.5391304347826087,159
1,0.6,3,3,2,0.9861111111111112,0.17067307692307693,0.29098360655737704,72
1,0.6,3,3,3,0.9861111111111112,0.17067307692307693,0.29098360655737704,72
1,0.6,3,3,5,0.9861111111111112,0.17067307692307693,0.29098360655737704,72
1,0.6,3,3,8,0.9861111111111112,0.17067307692307693,0.29098360655737704,72
1,0.7,2,1,2,0.7784679089026915,0.9038461538461539,0.8364849833147942,483
1,0.7,2,1,3,0.8122270742358079,0.8942307692307693,0.851258581235698,458
1,0.7,2,1,5,0.8378995433789954,0.8822115384615384,0.8594847775175645,438
1,0.7,2,1,8,0.8402777777777778,0.8725961538461539,0.8561320754716981,432
1,0.7,2,2,2,0.9245810055865922,0.7956730769230769,0.8552971576227391,358
1,0.7,2,2,3,0.927170868347339,0.7956730769230769,0.8564036222509702,357
1,0.7,2,2,5,0.9323943661971831,0.7956730769230769,0.8586251621271077,355
1,0.7,2,2,8,0.9348441926345609,0.7932692307692307,0.858257477243173,353
1,0.7,2,3,2,0.9757085020242915,0.5793269230769231,0.7269984917043741,247
1,0.7,2,3,3,0.9757085020242915,0.5793269230769231,0.7269984917043741,247
1,0.7,2,3,5,0.9757085020242915,0.5793269230769231,0.7269984917043741,247
1,0.7,2,3,8,0.9796747967479674,0.5793269230769231,0.7280966767371602,246
1,0.7,3,1,2,0.9343629343629344,0.5817307692307693,0.717037037037037,259
1,0.7,3,1,3,0.9343629343629344,0.5817307692307693,0.717037037037037,259
1,0.7,3,1,5,0.9343629343629344,0.5817307692307693,0.717037037037037,259
1,0.7,3,1,8,0.9343629343629344,0.5817307692307693,0.717037037037037,259
1,0.7,3,2,2,0.9846153846153847,0.3076923076923077,0.4688644688644689,130
1,0.7,3,2,3,0.9846153846153847,0.3076923076923077,0.4688644688644689,130
1,0.7,3,2,5,0.9846153846153847,0.3076923076923077,0.4688644688644689,130
1,0.7,3,2,8,0.9846153846153847,0.3076923076923077,0.4688644688644689,130
1,0.7,3,3,2,0.9827586206896551,0.13701923076923078,0.24050632911392408,58
1,0.7,3,3,3,0.9827586206896551,0.13701923076923078,0.24050632911392408,58
1,0.7,3,3,5,0.9827586206896551,0.13701923076923078,0.24050632911392408,58
1,0.7,3,3,8,0.9827586206896551,0.13701923076923078,0.24050632911392408,58
1,0.8,2,1,2,0.8092105263157895,0.8870192307692307,0.8463302752293578,456
1,0.8,2,1,3,0.8375286041189931,0.8798076923076923,0.858147713950762,437
1,0.8,2,1,5,0.8564705882352941,0.875,0.8656361474435196,425
1,0.8,2,1,8,0.861904761904762,0.8701923076923077,0.8660287081339713,420
1,0.8,2,2,2,0.9444444444444444,0.7355769230769231,0.8270270270270271,324
1,0.8,2,2,3,0.9473684210526315,0.7355769230769231,0.828146143437077,323
1,0.8,2,2,5,0.9503105590062112,0.7355769230769231,0.8292682926829268,322
1,0.8,2,2,8,0.9532710280373832,0.7355769230769231,0.830393487109905,321
1,0.8,2,3,2,0.9770642201834863,0.5120192307692307,0.6719242902208202,218
1,0.8,2,3,3,0.9770642201834863,0.5120192307692307,0.6719242902208202,218
1,0.8,2,3,5,0.9770642201834863,0.5120192307692307,0.6719242902208202,218
1,0.8,2,3,8,0.9770642201834863,0.5120192307692307,0.6719242902208202,218
