threshold,region,selection,tp,fp,fn,ignored,output_count,precision,recall,f1
2.170103580744346e-18,fixed,after,12,156,0,259,427,0.07142857142857142,1.0,0.13333333333333333
2.5173066458040383e-18,old,before,12,153,0,337,502,0.07272727272727272,1.0,0.13559322033898305
2.5173066458040383e-18,old,after,12,141,0,273,426,0.0784313725490196,1.0,0.14545454545454545
2.5173066458040383e-18,fixed,before,12,169,0,321,502,0.06629834254143646,1.0,0.12435233160621761
2.5173066458040383e-18,fixed,after,12,156,0,258,426,0.07142857142857142,1.0,0.13333333333333333
2.837537832630214e-18,old,before,12,153,0,336,501,0.07272727272727272,1.0,0.13559322033898305
2.837537832630214e-18,old,after,12,141,0,273,426,0.0784313725490196,1.0,0.14545454545454545
2.837537832630214e-18,fixed,before,12,169,0,320,501,0.06629834254143646,1.0,0.12435233160621761
2.837537832630214e-18,fixed,after,12,156,0,258,426,0.07142857142857142,1.0,0.13333333333333333
3.0238635743302338e-18,old,before,12,153,0,335,500,0.07272727272727272,1.0,0.13559322033898305
3.0238635743302338e-18,old,after,12,141,0,272,425,0.0784313725490196,1.0,0.14545454545454545
3.0238635743302338e-18,fixed,before,12,169,0,319,500,0.06629834254143646,1.0,0.12435233160621761
3.0238635743302338e-18,fixed,after,12,156,0,257,425,0.07142857142857142,1.0,0.13333333333333333
3.2792191925090287e-18,old,before,12,153,0,334,499,0.07272727272727272,1.0,0.13559322033898305
3.2792191925090287e-18,old,after,12,141,0,271,424,0.0784313725490196,1.0,0.14545454545454545
3.2792191925090287e-18,fixed,before,12,169,0,318,499,0.06629834254143646,1.0,0.12435233160621761
3.2792191925090287e-18,fixed,after,12,156,0,256,424,0.07142857142857142,1.0,0.13333333333333333
4.497815673862708e-18,old,before,12,152,0,334,498,0.07317073170731707,1.0,0.13636363636363635
4.497815673862708e-18,old,after,12,140,0,271,423,0.07894736842105263,1.0,0.14634146341463414
4.497815673862708e-18,fixed,before,12,168,0,318,498,0.06666666666666667,1.0,0.125
4.497815673862708e-18,fixed,after,12,155,0,256,423,0.0718562874251497,1.0,0.1340782122905028
5.8027815984906524e-18,old,before,12,152,0,333,497,0.07317073170731707,1.0,0.13636363636363635
5.8027815984906524e-18,old,after,12,140,0,270,422,0.07894736842105263,1.0,0.14634146341463414
5.8027815984906524e-18,fixed,before,12,168,0,317,497,0.06666666666666667,1.0,0.125
5.8027815984906524e-18,fixed,after,12,155,0,255,422,0.0718562874251497,1.0,0.1340782122905028
1.1549854237087084e-17,old,before,12,152,0,332,496,0.07317073170731707,1.0,0.13636363636363635
1.1549854237087084e-17,old,after,12,140,0,269,421,0.07894736842105263,1.0,0.14634146341463414
1.1549854237087084e-17,fixed,before,12,168,0,316,496,0.06666666666666667,1.0,0.125
1.1549854237087084e-17,fixed,after,12,155,0,254,421,0.0718562874251497,1.0,0.1340782122905028
2.092900787582271e-17,old,before,12,152,0,331,495,0.07317073170731707,1.0,0.13636363636363635
2.092900787582271e-17,old,after,12,140,0,268,420,0.07894736842105263,1.0,0.14634146341463414
2.092900787582271e-17,fixed,before,12,168,0,315,495,0.06666666666666667,1.0,0.125
2.092900787582271e-17,fixed,after,12,155,0,253,420,0.0718562874251497,1.0,0.1340782122905028
2.3621953916993196e-17,old,before,12,152,0,330,494,0.07317073170731707,1.0,0.13636363636363635
2.3621953916993196e-17,old,after,12,140,0,267,419,0.07894736842105263,1.0,0.14634146341463414
2.3621953916993196e-17,fixed,before,12,168,0,314,494,0.06666666666666667,1.0,0.125
2.3621953916993196e-17,fixed,after,12,155,0,252,419,0.0718562874251497,1.0,0.1340782122905028
2.8277384307084515e-17,old,before,12,152,0,329,493,0.07317073170731707,1.0,0.13636363636363635
2.8277384307084515e-17,old,after,12,140,0,266,418,0.07894736842105263,1.0,0.14634146341463414
